               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 137,            0.061441,            0.059323,            0.055734,             0.61369,             0.18702,             0.16177,            0.073969,            0.061611,            0.045065,            0.060476,            0.005512,            0.005512,            0.005512
                 138,            0.055397,             0.04797,            0.054208,              0.6196,              0.1768,             0.15178,            0.058004,            0.064048,            0.046554,            0.060516,            0.005479,            0.005479,            0.005479
                 139,            0.054729,            0.041092,            0.055005,             0.61914,             0.18339,             0.16557,            0.073137,            0.063484,            0.048161,            0.060087,            0.005446,            0.005446,            0.005446
                 140,             0.05724,             0.04614,            0.055186,             0.61509,             0.17926,             0.15081,            0.055815,            0.065525,            0.046687,            0.060193,            0.005413,            0.005413,            0.005413
                 141,             0.05926,            0.052656,            0.053456,             0.62175,             0.18184,             0.17724,            0.076585,             0.06176,            0.046105,            0.059933,             0.00538,             0.00538,             0.00538
                 142,            0.057655,            0.046256,            0.054598,             0.61261,             0.17678,             0.15417,            0.064336,             0.06451,            0.047124,             0.05993,            0.005347,            0.005347,            0.005347
                 143,            0.056311,            0.052684,             0.05378,             0.63039,             0.19571,             0.18204,            0.081515,            0.063491,            0.047046,            0.059747,            0.005314,            0.005314,            0.005314
                 144,            0.056104,            0.045053,            0.054412,             0.63107,             0.19083,             0.16671,            0.073408,            0.063092,             0.04722,            0.059778,            0.005281,            0.005281,            0.005281
                 145,            0.055674,            0.043262,            0.055458,             0.62697,             0.18542,             0.17482,            0.073355,            0.064288,            0.047667,            0.059688,            0.005248,            0.005248,            0.005248
                 146,            0.057132,            0.050689,            0.053549,              0.6195,             0.19263,             0.16437,            0.062692,            0.063377,             0.04566,            0.060119,            0.005215,            0.005215,            0.005215
                 147,            0.055571,            0.045774,            0.054261,             0.62081,             0.19093,             0.16873,            0.075242,            0.063147,            0.047103,            0.060001,            0.005182,            0.005182,            0.005182
                 148,            0.053429,            0.036762,            0.054357,             0.60152,             0.17383,             0.14486,            0.054336,            0.064112,            0.048925,            0.059988,            0.005149,            0.005149,            0.005149
                 149,            0.054341,            0.048941,            0.053506,             0.61359,             0.19795,              0.1625,             0.06967,            0.062768,            0.045822,            0.059942,            0.005116,            0.005116,            0.005116
                 150,            0.055096,            0.044547,            0.052253,             0.60166,             0.18055,             0.15227,            0.057162,              0.0633,            0.046171,            0.059998,            0.005083,            0.005083,            0.005083
                 151,            0.056123,            0.044783,             0.05462,             0.60516,             0.20573,             0.15498,            0.065549,             0.06296,            0.045712,             0.05992,             0.00505,             0.00505,             0.00505
                 152,            0.054326,            0.043516,            0.053137,             0.62183,             0.19668,             0.17119,             0.06961,            0.062911,            0.045753,            0.059726,            0.005017,            0.005017,            0.005017
                 153,            0.052552,            0.041575,            0.055006,             0.61604,             0.19236,             0.15833,            0.068283,            0.063915,            0.046668,             0.05953,            0.004984,            0.004984,            0.004984
                 154,            0.052241,            0.046992,            0.054437,             0.60905,             0.19548,             0.15889,            0.067089,            0.061523,            0.046144,            0.059806,            0.004951,            0.004951,            0.004951
                 155,            0.056313,            0.047045,            0.052563,             0.62413,              0.2012,             0.16209,            0.068919,            0.063256,            0.045448,            0.060238,            0.004918,            0.004918,            0.004918
                 156,            0.051934,            0.041945,            0.054735,             0.62527,             0.20258,             0.17051,            0.066564,            0.062172,            0.047034,            0.059964,            0.004885,            0.004885,            0.004885
                 157,             0.05421,            0.041892,            0.052373,             0.59378,             0.18877,             0.15229,            0.062226,            0.062397,             0.04631,            0.060214,            0.004852,            0.004852,            0.004852
                 158,            0.052351,            0.039765,            0.053897,             0.60458,             0.19671,              0.1653,            0.071055,            0.062352,            0.046917,            0.059665,            0.004819,            0.004819,            0.004819
                 159,            0.051109,            0.046113,            0.055471,             0.59884,             0.18336,             0.14943,            0.064989,            0.062584,            0.046203,            0.059842,            0.004786,            0.004786,            0.004786
                 160,            0.052438,            0.040137,            0.052942,              0.5919,             0.18877,             0.16138,            0.066009,            0.062416,            0.046034,            0.059527,            0.004753,            0.004753,            0.004753
                 161,            0.053182,            0.045101,            0.052981,             0.60336,             0.18515,             0.15144,            0.067507,            0.062651,            0.045744,            0.059528,             0.00472,             0.00472,             0.00472
